Fecha,SPEI,Zona
1954-10-16,-1.6404182,Sevilla
1954-11-16,-0.5077081,Sevilla
1954-12-16,-0.58084786,Sevilla
1955-01-16,1.3820392,Sevilla
1955-02-15,1.3890705,Sevilla
1955-03-16,0.8158363,Sevilla
1955-04-16,-1.6322534,Sevilla
1955-05-16,-0.5782456,Sevilla
1955-06-16,-0.69175166,Sevilla
1955-07-16,-0.07435956,Sevilla
1955-08-16,-0.5597484,Sevilla
1955-09-16,-1.1210676,Sevilla
1955-10-16,1.2002714,Sevilla
1955-11-16,0.04177046,Sevilla
1955-12-16,0.30442467,Sevilla
1956-01-16,0.31299368,Sevilla
1956-02-15,0.056087967,Sevilla
1956-03-16,1.3211746,Sevilla
1956-04-16,1.3651358,Sevilla
1956-05-16,-1.1270916,Sevilla
1956-06-16,-0.8063785,Sevilla
1956-07-16,0.78763646,Sevilla
1956-08-16,1.4860737,Sevilla
1956-09-16,0.76179975,Sevilla
1956-10-16,-1.0630887,Sevilla
1956-11-16,-0.4821778,Sevilla
1956-12-16,-0.87998605,Sevilla
1957-01-16,-0.47222427,Sevilla
1957-02-15,-0.6422739,Sevilla
1957-03-16,-0.80566645,Sevilla
1957-04-16,1.057551,Sevilla
1957-05-16,1.0585371,Sevilla
1957-06-16,0.58624446,Sevilla
1957-07-16,-1.0284146,Sevilla
1957-08-16,-1.0812571,Sevilla
1957-09-16,0.1275252,Sevilla
1957-10-16,0.093746215,Sevilla
1957-11-16,0.14555617,Sevilla
1957-12-16,0.01077471,Sevilla
1958-01-16,-0.14742245,Sevilla
1958-02-15,-1.3148007,Sevilla
1958-03-16,0.39855692,Sevilla
1958-04-16,-0.6703408,Sevilla
1958-05-16,-1.0555547,Sevilla
1958-06-16,0.26741293,Sevilla
1958-07-16,0.33590722,Sevilla
1958-08-16,1.0884647,Sevilla
1958-09-16,-1.0748237,Sevilla
1958-10-16,-0.84463614,Sevilla
1958-11-16,-1.2091283,Sevilla
1958-12-16,2.1005235,Sevilla
1959-01-16,0.24278046,Sevilla
1959-02-15,-0.35966522,Sevilla
1959-03-16,0.18955626,Sevilla
1959-04-16,-0.74278283,Sevilla
1959-05-16,1.7339045,Sevilla
1959-06-16,-0.629659,Sevilla
1959-07-16,-0.1022683,Sevilla
1959-08-16,0.34971955,Sevilla
1959-09-16,0.44065866,Sevilla
1959-10-16,0.22343336,Sevilla
1959-11-16,-0.18724911,Sevilla
1959-12-16,-0.027016083,Sevilla
1960-01-16,0.8476527,Sevilla
1960-02-15,2.0312207,Sevilla
1960-03-16,1.3977561,Sevilla
1960-04-16,-0.5757771,Sevilla
1960-05-16,0.23706603,Sevilla
1960-06-16,0.7064307,Sevilla
1960-07-16,0.2758773,Sevilla
1960-08-16,-0.046391856,Sevilla
1960-09-16,-0.742548,Sevilla
